placeholder,Title,Date of Trans,Deemed Execution Day,Transaction Code,empty,Amount,Adq or Disp,Price,Shares Owned after Trans,Direct or Indirect Ownershipt,Nature of Ind Ownershipt,position,name_person,ticker
6,Common Stock,07/06/2021,,S(1),,1600,D,$187.1438(7),2147,D,,,Mnookin Allison ,BILL 
7,Common Stock,07/06/2021,,S(1),,1559,D,$188.1398(8),588,D,,,Mnookin Allison ,BILL 
8,Common Stock,07/06/2021,,S(1),,588,D,$189.0002(9),0,D,,,Mnookin Allison ,BILL 
0,Class A Common Stock,07/06/2021,,S(1),,3246.0,D,$359.19,42588,D,, Chief Revenue Officer,Pech Cedric ,MDB 
1,Class A Common Stock,,,,,,,,103013,I,By KW Investments SRL(2), Chief Revenue Officer,Pech Cedric ,MDB 
0,Common Stock,07/07/2021,,S,,"6,470(1)",D,$6.8134,190310,D,, Chief Accounting Officer,Moorehead Lewis W. ,QMCO 
0,Class A Common Stock,07/06/2021,,P,,29999,A,$33.77(2),3636147,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
1,Class A Common Stock,07/06/2021,,P,,1333,A,$33.77(2),3637480,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
2,Class A Common Stock,07/06/2021,,P,,24344,A,$34.29(3),3661824,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
3,Class A Common Stock,07/06/2021,,P,,1082,A,$34.29(3),3662906,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
4,Class A Common Stock,07/07/2021,,P,,24604,A,$33.7(4),3687510,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
5,Class A Common Stock,07/07/2021,,P,,736,A,$33.7(4),3688246,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
6,Class A Common Stock,07/07/2021,,P,,12842,A,$34.15(5),3701088,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
7,Class A Common Stock,07/07/2021,,P,,384,A,$34.15(5),3701472,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
8,Class A Common Stock,07/08/2021,,P,,1515,A,$33.91(6),3702987,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
9,Class A Common Stock,07/08/2021,,P,,47,A,$33.91(6),3703034,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
10,Class A Common Stock,07/08/2021,,P,,24003,A,$34.47(7),3727037,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
11,Class A Common Stock,07/08/2021,,P,,751,A,$34.47(7),3727788,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
0,Common Stock,03/05/2021,,L,,18(1),A,$111.01,16370,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
1,Common Stock,04/05/2021,,J,,62(2),A,$116.435,16432,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
2,Common Stock,04/05/2021,,L,,17(1),A,$116.435,16449,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
3,Common Stock,05/05/2021,,L,,25(1),A,$118.074,16474,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
4,Common Stock,06/07/2021,,L,,17(1),A,$117.56,16491,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
5,Common Stock,07/06/2021,,J,,66(2),A,$120.055,16557,D,, Executive VP & General Counsel,Moriarty James F ,CPK 
6,Common Stock,07/06/2021,,L,,17(1),A,$120.055,"16,574(3)(4)",D,, Executive VP & General Counsel,Moriarty James F ,CPK 
7,Common Stock,,,,,,,,387(5),I,401k Plan, Executive VP & General Counsel,Moriarty James F ,CPK 
0,Common Stock,07/06/2021,,S(1),,8091.0,D,$256.9643(2),18417678,D,, Executive Chairman,Mansueto Joseph D ,MORN 
1,Common Stock,07/06/2021,,S(1),,864.0,D,$258.1327(3),18416814,D,, Executive Chairman,Mansueto Joseph D ,MORN 
2,Common Stock,07/06/2021,,S(1),,200.0,D,$258.948(4),18416614,D,, Executive Chairman,Mansueto Joseph D ,MORN 
3,Common Stock,07/07/2021,,S(1),,740.0,D,$256.51(5),18415874,D,, Executive Chairman,Mansueto Joseph D ,MORN 
4,Common Stock,07/07/2021,,S(1),,1819.0,D,$257.3921(6),18414055,D,, Executive Chairman,Mansueto Joseph D ,MORN 
5,Common Stock,07/07/2021,,S(1),,5424.0,D,$258.5778(7),18408631,D,, Executive Chairman,Mansueto Joseph D ,MORN 
6,Common Stock,07/07/2021,,S(1),,1031.0,D,$259.2855(8),18407600,D,, Executive Chairman,Mansueto Joseph D ,MORN 
7,Common Stock,,,,,,,,150000,I,ByTrust(9), Executive Chairman,Mansueto Joseph D ,MORN 
0,Class A Common Stock,07/06/2021,,S(1),,75675.0,D,$21.2602(2),402678,D,, President/Chief Legal Officer,Morton Erin Thomas ,SWCH 
1,Class A Common Stock,07/07/2021,,S(1),,68725.0,D,$21.3744(3),333953,D,, President/Chief Legal Officer,Morton Erin Thomas ,SWCH 
2,Class A Common Stock,07/08/2021,,S(1),,19222.0,D,$21.0959(4),314731,D,, President/Chief Legal Officer,Morton Erin Thomas ,SWCH 
3,Class A Common Stock,07/06/2021,,S(1),,16825.0,D,$21.2602(2),483175,I,By LLC(5), President/Chief Legal Officer,Morton Erin Thomas ,SWCH 
4,Class A Common Stock,07/07/2021,,S(1),,15279.0,D,$21.3744(3),467896,I,By LLC(5), President/Chief Legal Officer,Morton Erin Thomas ,SWCH 
5,Class A Common Stock,07/08/2021,,S(1),,4274.0,D,$21.0959(4),463622,I,By LLC(5), President/Chief Legal Officer,Morton Erin Thomas ,SWCH 
6,Class B Common Stock,,,,,,,,527914,D,, President/Chief Legal Officer,Morton Erin Thomas ,SWCH 
7,Class B Common Stock,,,,,,,,2822527,I,By LLC(5), President/Chief Legal Officer,Morton Erin Thomas ,SWCH 
0,Ordinary Shares,07/06/2021,,F,,74(1),D,$1.27,41342,D,, Gen Counsel & Corp Secretary,Crotty Robert ,NBRV 
0,Common Stock,07/06/2021,,A(1),,5000,A,(1),23782,D,,,Najarian Jon ,NETE 
0,Common Stock,07/06/2021,,A(1),,5000,A,(1),23782,D,,,Najarian Jon ,NETE 
0,Ordinary Shares(1),07/06/2021,,A,V,154,A,$137.122(2),90199,D,, Chief Development Officer,Leonard Frank X ,NVCR 
0,Ordinary Shares,07/06/2021,,S(1),,44300.0,D,$25.4187(2),6722631,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
1,Ordinary Shares,07/07/2021,,S(1),,40700.0,D,$25.1412(3),6343333,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
2,Ordinary Shares,,,,,,,,545597,I,See Footnote(4), Chief Executive Officer,OYLER JOHN ,BGNE 
3,Ordinary Shares,,,,,,,,7727927,I,See Footnote(5), Chief Executive Officer,OYLER JOHN ,BGNE 
4,Ordinary Shares,,,,,,,,29439115,I,See Footnote(6), Chief Executive Officer,OYLER JOHN ,BGNE 
5,Ordinary Shares,,,,,,,,10000000,I,See Footnote(7), Chief Executive Officer,OYLER JOHN ,BGNE 
6,Ordinary Shares,,,,,,,,102188,I,See Footnote(8), Chief Executive Officer,OYLER JOHN ,BGNE 
7,American Depositary Shares,07/06/2021,,S(1),,900.0,D,$321.7223(9),12175,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
8,American Depositary Shares,07/06/2021,,S(1),,3062.0,D,$322.926(10),9113,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
9,American Depositary Shares,07/06/2021,,S(1),,2023.0,D,$323.6334(11),7090,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
10,American Depositary Shares,07/06/2021,,S(1),,885.0,D,$325.0105(12),6205,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
11,American Depositary Shares,07/06/2021,,S(1),,3015.0,D,$326.2763(13),3190,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
12,American Depositary Shares,07/06/2021,,S(1),,2290.0,D,$327.2212(14),900,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
13,American Depositary Shares,07/06/2021,,S(1),,700.0,D,$328.0657(15),200,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
14,American Depositary Shares,07/06/2021,,S(1),,100.0,D,$329.41,100,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
15,American Depositary Shares,07/06/2021,,S(1),,100.0,D,$332.26,0,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
16,American Depositary Shares,07/07/2021,,S(1),,900.0,D,$310.3777(16),25146,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
17,American Depositary Shares,07/07/2021,,S(1),,2400.0,D,$311.3731(17),22746,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
18,American Depositary Shares,07/07/2021,,S(1),,3675.0,D,$312.1288(18),19071,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
19,American Depositary Shares,07/07/2021,,S(1),,3200.0,D,$313.3831(19),15871,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
20,American Depositary Shares,07/07/2021,,S(1),,3100.0,D,$314.5032(20),12771,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
21,American Depositary Shares,07/07/2021,,S(1),,3137.0,D,$315.1846(21),9634,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
22,American Depositary Shares,07/07/2021,,S(1),,2400.0,D,$316.4327(22),7234,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
23,American Depositary Shares,07/07/2021,,S(1),,1804.0,D,$317.3833(23),5430,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
24,American Depositary Shares,07/07/2021,,S(1),,1673.0,D,$318.5296(24),3757,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
25,American Depositary Shares,07/07/2021,,S(1),,1100.0,D,$319.5891(25),2657,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
26,American Depositary Shares,07/07/2021,,S(1),,900.0,D,$320.5222(26),1757,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
27,American Depositary Shares,07/07/2021,,S(1),,300.0,D,$321.4033(27),1457,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
28,American Depositary Shares,07/07/2021,,S(1),,300.0,D,$322.6298(28),1157,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
29,American Depositary Shares,07/07/2021,,S(1),,857.0,D,$323.7109(29),300,D,, Chief Executive Officer,OYLER JOHN ,BGNE 
0,Common Stock,07/07/2021,,A,,"1,126(1)",A,$0,25132,D,,,Oliver Stephen E. ,FNWB 
0,Common Stock,06/01/2021,,A(1),,20912.0,A,$17.21,1240126,D,, Chief Executive Officer,PAEK NACK Y ,MCBS 
1,Common Stock,,,,,,,,20000,I,By Spouse, Chief Executive Officer,PAEK NACK Y ,MCBS 
2,Common Stock,,,,,,,,28000,I,"By Magna Properties, LLC", Chief Executive Officer,PAEK NACK Y ,MCBS 
0,Class A Common Stock,07/06/2021,,M(1),,5415.0,A,$36.94,42461.0,D,,,PENNINGTON BROOKS III ,CENT 
1,Class A Common Stock,07/06/2021,,F(2),,4699.0,D,$46.47,37762.0,D,,,PENNINGTON BROOKS III ,CENT 
2,Class A Common Stock,07/07/2021,,S(3),,716.0,D,$46.65,37046.0,D,,,PENNINGTON BROOKS III ,CENT 
3,Class A Common Stock,,,,,,,,3876.0,I,By Spouse(4),,PENNINGTON BROOKS III ,CENT 
4,Class A Common Stock,,,,,,,,15208.0,I,By LLC(5),,PENNINGTON BROOKS III ,CENT 
5,Units,,,,,,,,2064.661,I,By 401(k) Plan(6),,PENNINGTON BROOKS III ,CENT 
6,Common Stock,,,,,,,,159950.0,D,,,PENNINGTON BROOKS III ,CENT 
7,Common Stock,,,,,,,,6938.0,I,By Spouse(4),,PENNINGTON BROOKS III ,CENT 
8,Common Stock,,,,,,,,7604.0,I,By LLC(5),,PENNINGTON BROOKS III ,CENT 
0,Common Stock(1),07/06/2021,,S,,7546,D,$10.02(2),64417,D,, Chief Accounting Officer/VP,DelaCruz Stephanie ,PFSW 
1,Common Stock,07/06/2021,,M,,5000,A,$6.95,69417,D,, Chief Accounting Officer/VP,DelaCruz Stephanie ,PFSW 
2,Common Stock(1),07/06/2021,,D,,5000,D,$10,64417,D,, Chief Accounting Officer/VP,DelaCruz Stephanie ,PFSW 
0,Class A Common Stock,07/06/2021,,S(1),,858445.0,D,$11.13(2),24981634,I,See footnote(3),,PINCUS MARK J ,ZNGA 
1,Class A Common Stock,07/06/2021,,S(1),,409479.0,D,$11.13(2),30315212,I,By Trust(4),,PINCUS MARK J ,ZNGA 
2,Class A Common Stock,,,,,,,,233914,D,,,PINCUS MARK J ,ZNGA 
0,Class A Common Stock(1),07/06/2021,,C(2),,37500,A,$0,37500,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
1,Class A Common Stock,07/06/2021,,S(3),,14600,D,$79.9291(4),22900,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
2,Class A Common Stock,07/06/2021,,S(3),,15071,D,$80.4373(5),7829,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
3,Class A Common Stock,07/06/2021,,S(3),,7829,D,$81.3236(6),0,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
4,Class A Common Stock,07/07/2021,,C(2),,37500,A,$0,37500,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
5,Class A Common Stock,07/07/2021,,S(3),,12058,D,$78.085(7),25442,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
6,Class A Common Stock,07/07/2021,,S(3),,9832,D,$78.6205(8),15610,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
7,Class A Common Stock,07/07/2021,,S(3),,5100,D,$79.5315(9),10510,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
8,Class A Common Stock,07/07/2021,,S(3),,6110,D,$80.4997(10),4400,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
9,Class A Common Stock,07/07/2021,,S(3),,4400,D,$81.2355(11),0,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
10,Class A Common Stock,07/08/2021,,C(2),,37500,A,$0,37500,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
11,Class A Common Stock,07/08/2021,,S(3),,9400,D,$74.7719(12),28100,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
12,Class A Common Stock,07/08/2021,,S(3),,11833,D,$75.3669(13),16267,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
13,Class A Common Stock,07/08/2021,,S(3),,16267,D,$76.0002(14),0,D,," Chairman, President, CEO, Co-F",Silbermann Benjamin ,PINS 
0,Common Stock,07/07/2021,,M,,4000,A,$3.9,4000,D,, Chief Medical Officer,Alland Leila ,PMVP 
1,Common Stock,07/07/2021,,S(1),,"1,951(2)",D,$31.9321,2049,D,, Chief Medical Officer,Alland Leila ,PMVP 
2,Common Stock,07/07/2021,,S(1),,"2,049(3)",D,$32.6567,0,D,, Chief Medical Officer,Alland Leila ,PMVP 
0,Common Stock,07/07/2021,,J(1),,9095,A,$1.3,133319,D,,,PORCELAIN MICHAEL ,AIRI 
0,Common Stock,07/06/2021,,S(1),,2321.0,D,$88.24(2),1003597,I,As co-trustee of the Robert and Allison Price Charitable Trust(3),,PRICE ROBERT E ,PSMT 
1,Common Stock,07/06/2021,,S(1),,1001.0,D,$88.7121(4),1002596,I,As co-trustee of the Robert and Allison Price Charitable Trust(3),,PRICE ROBERT E ,PSMT 
2,Common Stock,07/06/2021,,S(1),,106.0,D,$90.5051(5),1002490,I,As co-trustee of the Robert and Allison Price Charitable Trust(3),,PRICE ROBERT E ,PSMT 
3,Common Stock,07/07/2021,,S(1),,4404.0,D,$87.6377(6),998086,I,As co-trustee of the Robert and Allison Price Charitable Trust(3),,PRICE ROBERT E ,PSMT 
4,Common Stock,07/07/2021,,S(1),,945.0,D,$88.335(7),997141,I,As co-trustee of the Robert and Allison Price Charitable Trust(3),,PRICE ROBERT E ,PSMT 
5,Common Stock,07/08/2021,,S(1),,337.0,D,$87.5965(8),996804,I,As co-trustee of the Robert and Allison Price Charitable Trust(3),,PRICE ROBERT E ,PSMT 
6,Common Stock,07/08/2021,,S(1),,886.0,D,$88.2851(9),995918,I,As co-trustee of the Robert and Allison Price Charitable Trust(3),,PRICE ROBERT E ,PSMT 
7,Common Stock,07/06/2021,,S(1),,2322.0,D,$88.24(2),1296349,I,As co-trustee of the Robert and Allison Price Trust UDT 1/10/75(10),,PRICE ROBERT E ,PSMT 
8,Common Stock,07/06/2021,,S(1),,1001.0,D,$88.7122(4),1295348,I,As co-trustee of the Robert and Allison Price Trust UDT 1/10/75(10),,PRICE ROBERT E ,PSMT 
9,Common Stock,07/06/2021,,S(1),,105.0,D,$90.5045(5),1295243,I,As co-trustee of the Robert and Allison Price Trust UDT 1/10/75(10),,PRICE ROBERT E ,PSMT 
10,Common Stock,07/07/2021,,S(1),,4405.0,D,$87.6377(6),1290838,I,As co-trustee of the Robert and Allison Price Trust UDT 1/10/75(10),,PRICE ROBERT E ,PSMT 
11,Common Stock,07/07/2021,,S(1),,944.0,D,$88.3352(7),1289894,I,As co-trustee of the Robert and Allison Price Trust UDT 1/10/75(10),,PRICE ROBERT E ,PSMT 
12,Common Stock,07/08/2021,,S(1),,338.0,D,$87.5959(8),1289556,I,As co-trustee of the Robert and Allison Price Trust UDT 1/10/75(10),,PRICE ROBERT E ,PSMT 
13,Common Stock,07/08/2021,,S(1),,885.0,D,$88.2849(9),1288671,I,As co-trustee of the Robert and Allison Price Trust UDT 1/10/75(10),,PRICE ROBERT E ,PSMT 
14,Common Stock,,,,,,,,80,D,,,PRICE ROBERT E ,PSMT 
15,Common Stock,,,,,,,,150511,I,As co-manager of The Price Group LLC(11),,PRICE ROBERT E ,PSMT 
16,Common Stock,,,,,,,,38805,I,As co-trustee of the David Price Trust UTD 9/22/89(12),,PRICE ROBERT E ,PSMT 
17,Common Stock,,,,,,,,45000,I,Family Trusts,,PRICE ROBERT E ,PSMT 
18,Common Stock,,,,,,,,8314,I,As managing member of RARSD LLC(13),,PRICE ROBERT E ,PSMT 
0,Common Stock,07/07/2021,,A,,87.501(1),A,$204.89,6096.18,D,,,DUBLON DINA ,TROW 
0,Common Stock,07/07/2021,,A,,94.557(1),A,$204.89,26021.502,D,,,MacLellan Robert F. ,TROW 
0,Common Stock,07/07/2021,,A,,190.07(1),A,$204.89,22542.084,D,,,SNOWE OLYMPIA J. ,TROW 
0,Common Stock,07/07/2021,,A,,114.255(1),A,$204.89,7960.1,D,,,Verma Richard R. ,TROW 
0,Common Stock,06/01/2021,,A(1),,1162.0,A,$17.21,642524,D,,,Patel Ajit A. ,MCBS 
1,Common Stock,,,,,,,,49088,I,By Spouse,,Patel Ajit A. ,MCBS 
0,Class A Common Stock,07/06/2021,,S(1),,2480,D,$11,293539,D,, Chief Legal Officer,Phillips Phuong Y. ,ZNGA 
0,"Common Stock, par value $0.0001",07/06/2021,,M,,45000,A,$12.38,54791,D,, EVP and CDO,Brindle Patrick ,PLL 
1,"Common Stock, par value $0.0001",07/06/2021,,F,,7161,D,$77.8,47630,D,, EVP and CDO,Brindle Patrick ,PLL 
2,"Common Stock, par value $0.0001",07/06/2021,,S,,5500,D,$78.0173(1),42130,D,, EVP and CDO,Brindle Patrick ,PLL 
3,"Common Stock, par value $0.0001",07/06/2021,,S,,4500,D,$77.2322(2),37630,D,, EVP and CDO,Brindle Patrick ,PLL 
4,"Common Stock, par value $0.0001",07/06/2021,,S,,10000,D,$71.0024(3),27630,D,, EVP and CDO,Brindle Patrick ,PLL 
0,Common Stock,07/06/2021,,M,,7955,A,$1.92,328705,D,, Chief Operating Officer,Neagle Matthew ,PRCH 
1,Common Stock,07/06/2021,,M,,2580,A,$3.18,331285,D,, Chief Operating Officer,Neagle Matthew ,PRCH 
2,Common Stock,07/06/2021,,M,,1465,A,$2.07,332750,D,, Chief Operating Officer,Neagle Matthew ,PRCH 
3,Common Stock,07/06/2021,,S(1),,12000,D,$19.49,320750,D,, Chief Operating Officer,Neagle Matthew ,PRCH 
0,Common Stock,07/06/2021,,M,,15000,A,$1.89,15000,D,, Chief Medical Officer,Mauro David J ,PRLD 
1,Common Stock,07/06/2021,,S(1),,10445,D,$27.1654(2),4555,D,, Chief Medical Officer,Mauro David J ,PRLD 
2,Common Stock,07/06/2021,,S(1),,4255,D,$28.1343(3),300,D,, Chief Medical Officer,Mauro David J ,PRLD 
3,Common Stock,07/06/2021,,S(1),,300,D,$28.8433(4),0,D,, Chief Medical Officer,Mauro David J ,PRLD 
0,Common Stock,07/07/2021,,S,,"7,216(1)",D,$6.8134,285114,D,, Chief Revenue Officer,King Elizabeth ,QMCO 
0,Common Stock,07/06/2021,,C,,6122557,A,(1),"6,122,557(2)",I,See footnotes(2)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
1,Common Stock,07/06/2021,,P,,1759332,A,$16,"7,881,889(2)",I,See footnotes(2)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
2,Common Stock,07/06/2021,,C,,1184366,A,(1),"1,184,336(3)",I,See footnotes(3)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
3,Common Stock,07/06/2021,,P,,115668,A,$16,"1,300,034(3)",I,See footnotes(3)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
4,Common Stock,07/06/2021,,C,,588850,A,(1),"588,850(4)",I,See footnotes(4)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
0,Common Stock,07/06/2021,,M(1),,4500,A,$2.25,28477,D,, Chief Financial Officer,Nielsen Christopher John ,RDFN 
1,Common Stock,07/06/2021,,S(1),,4500,D,$62.66,23977,D,, Chief Financial Officer,Nielsen Christopher John ,RDFN 
0,Class A Common Stock,07/06/2021,,C,,43690.0,A,$0.00(1),43690,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
1,Class A Common Stock,07/06/2021,,S(3),,43690.0,D,$69.69(4),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
2,Class A Common Stock,07/06/2021,,C,,28057.0,A,$0.00(1),28057,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
3,Class A Common Stock,07/06/2021,,S(3),,28057.0,D,$70.23(5),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
4,Class A Common Stock,07/06/2021,,C,,2940.0,A,$0.00(1),2940,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
5,Class A Common Stock,07/06/2021,,S(3),,2940.0,D,$71.53(6),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
6,Class A Common Stock,07/06/2021,,C,,1800.0,A,$0.00(1),1800,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
7,Class A Common Stock,07/06/2021,,S(3),,1800.0,D,$72.19(7),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
8,Class A Common Stock,07/07/2021,,C,,36289.0,A,$0.00(1),36289,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
9,Class A Common Stock,07/07/2021,,S(3),,36289.0,D,$65.89(8),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
10,Class A Common Stock,07/07/2021,,C,,11074.0,A,$0.00(1),11074,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
11,Class A Common Stock,07/07/2021,,S(3),,11074.0,D,$67.01(9),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
12,Class A Common Stock,07/07/2021,,C,,24309.0,A,$0.00(1),24309,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
13,Class A Common Stock,07/07/2021,,S(3),,24309.0,D,$67.83(10),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
14,Class A Common Stock,07/07/2021,,C,,7757.0,A,$0.00(1),7757,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
15,Class A Common Stock,07/07/2021,,S(3),,7757.0,D,$68.76(11),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
16,Class A Common Stock,07/07/2021,,C,,3154.0,A,$0.00(1),3154,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
17,Class A Common Stock,07/07/2021,,S(3),,3154.0,D,$69.88(12),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
18,Class A Common Stock,07/08/2021,,C,,2899.0,A,$0.00(1),2899,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
19,Class A Common Stock,07/08/2021,,S(3),,2899.0,D,$63.18(13),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
20,Class A Common Stock,07/08/2021,,C,,47887.0,A,$0.00(1),47887,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
21,Class A Common Stock,07/08/2021,,S(3),,47887.0,D,$64.07(14),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
22,Class A Common Stock,07/08/2021,,C,,54273.0,A,$0.00(1),54273,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
23,Class A Common Stock,07/08/2021,,S(3),,54273.0,D,$64.87(15),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
24,Class A Common Stock,,,,,,,,73000,D,, CO-CHIEF EXECUTIVE OFFICER,Mente Michael ,RVLV 
0,Common Stock,07/07/2021,,F,,731.0,D,$17.75,"33,147(1)",D,," Executive VP, COO, GC",Riffle Christopher J ,FNWB 
1,Common Stock,,,,,,,,1919,I,by ESOP," Executive VP, COO, GC",Riffle Christopher J ,FNWB 
0,Common Stock,07/31/2020,,M,,1000.0,A,$0.0000,2396.0,D,, SVP - HDFSI,Root Jonathan R ,HOG 
1,Common Stock,07/31/2020,,F,,294.0,D,$26.03,2102.0,D,, SVP - HDFSI,Root Jonathan R ,HOG 
2,Common Stock,,,,,,,,7912.967,I,By 401(k), SVP - HDFSI,Root Jonathan R ,HOG 
0,Common Stock,07/06/2021,,F(1),,97695,D,$6.85,488599,D,, President & COO,Ryan Christopher Michael ,GEVO 
0,Common Stock,07/07/2021,,A,,8082,A,$6.92,37126,D,, Executive VP & COO,McKay Edward H ,SHEN 
1,Common Stock,07/07/2021,,F,,914,D,$61.13,36212,D,, Executive VP & COO,McKay Edward H ,SHEN 
